"","1A","2A","3A","4A","5A","6A","7A","8A","9A","10A","11A","12A","13A","14A","15A","16A","17A","18A","19A","20A","21A","1B","2B","3B","5B","6B","7B","8B","9B","10B","11B","12B","13B","14B","15B","16B","17B","18B","19B","20B","21B"
"FBgn0039719",92.9729834936331,66.7436941138558,78.9467208095057,66.729967822133,54.995624167618,69.75368063011,68.9609242799133,79.0363603836435,76.4513391266496,48.1739787182966,83.7282671963711,69.5660328903163,54.9985467090844,56.3671482166948,62.5710475826985,64.3832816375326,66.0743617688078,60.2150139831327,44.1450333759571,56.1812018392851,48.6861901971474,80.7513222697714,66.6853429870961,48.5358089627074,83.690834539814,62.6374137164474,57.8588102395651,75.6625109384021,58.3416650548326,58.1659330677339,48.2762263341322,69.8123972292581,62.7300001788388,62.3687495698912,57.8974683104218,60.8366027809282,68.6464351479683,30.3330827217697,55.1963995465639,53.2564586581121,46.8359992188018
"FBgn0039722",479.656073933062,443.588859341318,487.008992006691,534.990259263652,443.077953199488,533.055905062199,447.231876580026,456.125501491147,422.494242542011,373.559624447142,423.665032013638,397.061510804728,408.940806982063,372.791821160413,402.73001535046,484.568909166693,443.820241315011,436.558851377712,369.904934839916,384.095971758377,369.12984204019,373.709607713593,474.986828995807,459.934570646608,467.428809207554,541.863340880379,425.039721375266,405.016970317329,463.009384371331,419.707124880904,473.628923224053,392.393818909278,382.354286804351,382.392005559661,411.376748521418,460.682970333841,421.685244480376,411.280915727524,375.984886323064,371.496272590733,429.789169301946
"FBgn0039723",119.385762895233,111.92404089862,105.604055108819,147.266135883328,117.254821338506,89.5602813028573,115.610961292796,132.362097509957,121.718579399008,79.4448070091207,112.195878043137,94.1817060668898,109.110020084151,101.204652479975,96.7007099005341,105.724125636369,118.43517675541,87.4999421942397,95.9012794029413,85.9916354682934,97.3723803942948,104.225543859821,98.2731370336153,97.0716179254148,114.68743992493,115.332380811237,116.830289906814,108.597956876295,91.8570896608003,114.050849152419,118.733421524487,115.551554034634,85.1335716712812,117.580429517008,77.7044969429346,93.4591289098318,102.152433255905,110.626536985278,96.1066721516641,72.7405288988849,119.845056824581
"FBgn0039726",377.174489854853,350.14768758192,342.444217537336,371.616889768085,379.781102742418,489.136920961759,375.228558581881,411.369972117277,416.458610505697,360.037104105164,381.800898415452,339.268191172773,380.554460293503,340.765032400927,395.904082886893,349.702877104914,410.159717395052,340.591172842094,350.876903212349,378.363196060491,411.619608030428,393.427953849235,317.047858763211,376.730326710539,374.438993052205,458.346789258449,392.772307972432,386.323879379606,461.768072348888,423.128650355476,452.752717241726,416.46705933316,424.174286923577,343.539341893171,438.801865089513,387.061864069964,410.244171955715,393.437925891189,369.491192258763,458.525119666185,444.941992578617
"FBgn0039727",2878.99295477444,2924.40062825017,3227.58801439382,2725.57403052816,3249.93009232037,2414.68296897319,3609.29308106194,3097.65397985533,3084.20797055668,2855.78726472148,3026.77685914881,3167.93011315902,2779.2007554768,2585.20238866568,2610.91916731442,2976.54076791624,2321.32946440604,2425.53603200806,2982.83423793751,2064.94580637862,2236.90913869439,3289.20792919778,3072.2054505985,2797.74270235035,3802.66354864607,2620.82892946913,3153.3051580563,3524.98286254203,2603.03131106349,2347.16647555679,2647.3638711339,2971.84153032824,2816.87572231643,2298.44178742812,2748.60612715792,2298.56555724464,2706.63087154846,2501.58717505418,2565.65852480557,2456.29178835342,1861.04220425298
"FBgn0039728",21.1302235212803,25.6706515822522,26.6573342993136,21.8598170451815,22.8283722959924,18.9454441217583,27.3815434640832,36.1853216214271,40.237546908763,27.8901982053296,36.0031548944396,33.1776464553816,30.1604933565947,26.9025025579679,28.441385264863,35.2413752121231,27.4270935644108,32.9300857720257,24.3558804832867,47.0087607226671,28.3265106601585,45.0705054528957,28.0780391524615,33.5128204742504,40.9155191083535,28.8330952028091,32.2674134028344,28.4847100003396,42.2046087630704,23.9506783220081,18.2666802345365,25.2769024450762,29.8714286565899,38.8526636664896,22.8542638067455,25.5690069658974,33.5059981079369,30.3330827217697,26.6241456636367,20.7830082568242,19.285411443036
"FBgn0039730",588.476725067655,561.673856619678,610.042842618908,563.753176428365,547.880935103817,468.469163738023,568.927625309285,610.389241035126,604.569142304164,557.803964106592,648.056788099912,561.879496421786,528.695707074424,566.233625267706,539.248664621802,604.525128638727,622.096349483681,541.935125848194,511.47349014902,551.493022136655,545.285330208051,552.113691797972,561.56078304923,521.182139099549,627.371292994754,609.471977907655,615.306193509221,582.156260631941,613.208139086964,602.188483524775,695.438611786282,634.329885169293,612.364287460093,619.597741628755,580.498300691335,613.215322233849,532.827091862801,565.622777811823,529.885435647013,614.397681592367,552.389284904103
"FBgn0039731",180.663411106946,214.606647227628,193.778314714241,177.179569734629,200.267084233024,198.066006727473,192.684935487993,237.10908115093,188.110531798467,155.508983932747,207.646102647,166.958478936759,143.705880110833,165.258229998946,147.895203377287,192.472126158519,177.029422097561,188.17191869729,137.001827718488,106.629627980684,124.813687596323,193.427585902011,189.526764279115,165.252873373028,235.574200926884,168.027347906026,194.71714984469,228.767827190228,161.370562917622,177.919324677774,183.97156521926,181.75296520031,179.228571939539,157.455531701037,156.932611472986,171.488684650588,160.175015345259,151.665413608848,128.575142473172,123.399111524894,108.824821714275
"FBgn0039732",197.56758992397,164.292170126414,166.095698326493,180.631119794394,181.589325081757,260.930434949671,196.741460445635,178.069872189655,163.968003653209,175.792764445714,175.829361112379,193.714645433035,189.833693479743,160.133943797428,152.445825019666,166.041094749426,170.795991742013,139.247219835994,140.807434044001,145.61250272631,155.795808630872,165.258519993951,155.599133636558,138.67373989345,182.879971772186,170.015837230357,211.407191259949,184.260467814697,183.714179321601,147.125595406621,182.666802345365,202.21521956061,173.254286208221,164.612601323811,181.310492866847,169.284459912148,169.164429471779,165.0476559861,143.510638821066,184.449198279315,169.436114820959
"FBgn0039733",378.231001030917,435.374250834997,454.199965176767,393.476706813267,481.471124788203,347.907246599561,460.415582692363,476.122652913515,421.488303869292,425.114233250933,406.0820959024,378.867317587261,403.618366977958,326.673245346754,426.620778972945,389.010564841513,372.759135261765,360.34922430531,362.293722188889,371.483865223028,339.918127921902,414.085268848479,349.80557110775,390.597700699883,485.406840330921,389.743907569006,455.081795922733,457.535654380455,368.669670665644,404.880514491089,403.171728033698,428.503679545101,449.565001281678,377.279812971965,382.428014366207,448.780156746268,406.975294091526,413.957364202975,385.076058013087,411.76335108833,336.117170864342
"FBgn0039734",522.973032151686,409.703599252745,457.275811442072,445.249957709749,487.697044505291,476.219572696924,517.20693209935,456.125501491147,454.684280069021,430.185178379175,519.115256617501,484.821736912512,451.520327014903,408.661824571037,459.612785880186,468.30365906879,428.860008461696,427.150255442847,427.750150987722,380.656306339646,371.78545241458,523.944625889912,423.510423882961,432.199822667918,598.234483932744,433.490672704303,526.292639294505,479.789334068221,405.909031338942,461.905939067299,429.266985511608,524.79664124063,473.46214420695,422.26710774369,409.853130934302,427.178754309561,442.932950597605,420.202410645692,419.492636553885,414.361227120433,360.912699862531
"FBgn0039735",949.803547281547,861.507067100384,888.919570673266,780.050313507003,855.026307813532,1171.17290934506,1005.0040582558,1096.03434700691,1093.45533724563,1025.17607342621,977.946160853614,951.449280607557,895.944067357665,790.421146584106,968.144754415935,944.739943186531,1021.03589223875,728.225325358511,820.48872378072,863.356020101666,916.185579164501,812.208067015724,821.282645209499,774.261714405094,838.148209613544,981.319481557677,922.402955549989,1041.47220938742,1038.978162785,920.390352660025,978.572155421598,1071.25919886275,1093.29428883119,937.576120583446,923.312257792517,944.730722895139,1031.33096615162,827.022578914133,779.892657122626,1089.80899546722,1051.05492364546
"FBgn0039736",65.5036929159688,53.3949552910846,51.264104421757,51.7732508964825,47.7320511643477,51.6693930593408,86.2011553498917,62.848190184584,80.4750938175259,42.2578760686812,46.0505469580041,49.2313463531469,55.8856200431019,66.6157206197302,61.433392172104,63.7055628834533,54.8541871288216,33.8709453655121,47.9506397014706,50.4484261413988,58.4234282365769,48.8263809073037,44.4568953247307,58.9363394547161,79.9712418936,90.4762642570908,68.9855045164045,96.1358962511462,69.5134732568219,61.5874585423065,50.8857520819231,51.7574669113465,49.2878572833734,54.1892414295776,73.1336441815855,52.0197038271705,51.4848263609762,55.3132684926389,46.7545972629717,53.2564586581121,84.0292927160855
"FBgn0039737",18630.5180787128,18674.8856130568,14965.0173627993,13610.612402342,13986.52864444,14048.9079728348,14214.0634515774,16584.3042462836,16838.4074426446,16466.2039889223,15905.0216366226,16819.9965062186,18465.3185209081,20750.7969730459,18161.5309747309,15128.0380285579,19814.8284142157,19904.8255597993,20320.4155357121,21963.4102537417,22287.6526687959,20596.2820231097,17582.702100931,18969.4120029248,15682.4225285457,15155.2713853938,14002.9447474024,16150.8305701926,18166.6014484569,16830.4838094225,13996.1913482766,17070.3347845748,19904.8264853187,20227.9236309955,19631.8126099944,15651.7590227107,18228.0801901837,20368.6650476684,20985.0217381971,20855.7487857231,21946.798222175
"FBgn0039738",1332.26059301672,1346.16896897331,1358.49876717656,1211.49407097769,1340.64804574646,915.40941370132,1309.24343007894,1354.09282488604,1448.55168871547,1431.69684120692,1409.14673691492,1373.12646458886,1280.04682098724,1264.41762022449,1334.46979662737,1351.37119563411,1199.31200040742,1240.05294421514,1277.92260410745,1296.75386286187,1173.77978548032,1413.148139721,1285.74020952313,1386.7373989345,1379.96887174538,1400.89072899166,1442.01957827839,1371.71681595386,1395.23471322621,1465.55341160859,1394.79151219425,1429.9504811786,1357.65643244201,1305.65398689756,1336.21262390105,1408.94045281048,1285.48622009231,1352.4986295942,1189.64475258006,1221.00173508842,1107.53362858578
"FBgn0039739",57.0516035074567,48.2608249746342,41.0112835374056,29.913433851301,51.8826643090736,52.5305496103298,48.6782994917035,56.1824730437948,43.2553629269202,46.4836636755494,59.4470697094235,48.1610996932959,42.5795200328395,34.5889318602445,30.716696086052,46.0848752773918,31.1671517777395,33.8709453655121,42.6227908457517,19.4914373728132,27.4413072020285,50.7043186345076,44.4568953247307,31.2015914760262,51.454364939293,40.7640311487991,38.943429968938,64.9807446882748,37.2393606732974,46.760848152492,35.2285975951775,48.1464808477642,56.7557144475208,31.6955940437152,48.7557627877237,35.2675958150309,44.9470706325983,41.9310261153875,44.1571196372511,37.669202465494,28.928117164554
"FBgn0039740",221.867346973443,246.438255189621,207.106981863898,210.544553645695,224.133109815198,196.343693625495,258.603466049675,253.29725134999,253.496545525207,237.489263505989,260.394910980714,254.718705044543,197.8173534859,197.285018758432,243.458257867227,224.324907600245,226.896864941944,241.800915526017,198.652650191807,223.578252217563,228.382492197528,225.352527264478,222.284476623654,201.076922845502,242.393454111609,249.555410203624,271.491340354882,232.32841594027,227.160100107114,261.176444559041,277.914492139734,258.787334556733,222.542143491595,243.34036717433,249.873284287084,266.270348403483,242.714181416031,249.801857708692,192.213344303328,188.34601232747,198.364231985513
"FBgn0039741",462.751895116038,482.608249746342,479.832017387645,502.775792039174,490.810004363836,430.578275494506,504.023225987014,581.821881860315,517.052477777604,605.977942824889,509.9051472259,499.805190150426,515.389607064162,564.952553717327,522.183833462884,561.828847131732,580.955709137065,517.472776417546,489.400973461042,565.251683811582,580.693468533249,475.118244982609,456.268136227499,499.225463616419,505.244667777395,539.874851556047,494.025225891671,514.505074381135,503.972681111958,558.849160846855,588.448056126854,526.000303261824,501.840001430711,512.241697287139,536.31339066496,570.012517360436,534.461530794896,538.858293057321,518.19678633127,497.49326014773,562.031990625621
"FBgn0039742",266.240816368131,312.155123240187,242.991854959128,333.649839110665,309.220679282078,333.267585232748,242.377366219107,284.721346442282,201.187734543815,200.302332565549,182.527622488089,266.491418302904,188.946620145725,229.311807517917,210.466250959986,204.671063731946,203.209829590862,190.994497477749,136.240706453385,166.250495238701,156.681012089002,252.582624308936,215.264966835538,231.122899822416,270.290398958214,290.319441352423,263.702654361095,165.567376876974,191.16205145626,191.605426576065,155.26678199356,205.826205624192,192.670714835005,204.48770350784,150.83814112452,178.983048761282,176.519404666204,194.488589216053,147.406855259647,90.9256611236061,136.37540949004
