gene_id,variance,mean_expr,n_samples
FBgn0270926,0.5638405896977734,5.026530032105753,41
FBgn0259229,0.563377360445226,2.1930518045981477,41
FBgn0261853,0.5626961980240133,8.072406020097649,41
FBgn0050042,0.5622003883781739,4.2646072615999735,41
FBgn0019928,0.5610066387360325,4.7294241649118725,41
FBgn0262150,0.5603930382851132,4.2018745740331305,41
FBgn0000964,0.556886568249014,2.192275744731266,41
FBgn0028533,0.5556277883978894,8.176260176062863,41
FBgn0029990,0.5532735528433682,10.762986990149601,41
FBgn0036419,0.5530263371714204,4.857577254170125,41
FBgn0039472,0.551690543379846,3.802079522139064,41
FBgn0035806,0.5501514584462661,5.722351197877789,41
FBgn0051354,0.5493350188321184,5.054328824153264,41
FBgn0013278,0.546690688810499,5.055505217100115,41
FBgn0002569,0.5417295348157363,6.409838749658852,41
FBgn0013279,0.5366040986716285,5.047259257375068,41
FBgn0262721,0.5358609620809546,2.586457708736096,41
FBgn0031418,0.5345386992963307,8.218789828798881,41
FBgn0037801,0.5345027995217058,3.908080597023648,41
FBgn0013277,0.53426676252519,4.97692001382867,41
FBgn0031032,0.5339240379930428,0.7957136723715504,41
FBgn0041194,0.5333779824165571,7.197754732427358,41
FBgn0031562,0.5272357422471589,5.8106199217267065,41
FBgn0040349,0.5261876588494573,7.427114019495834,41
FBgn0032283,0.5231546122092043,4.249484480746841,41
FBgn0036587,0.5228315797166713,3.338198779982679,41
FBgn0032285,0.5221552773164817,10.008976325314553,41
FBgn0038098,0.5176888835881011,5.127461822183696,41
FBgn0032087,0.517506650768411,6.050426857795311,41
FBgn0034394,0.5169836986832451,7.79319654771594,41
FBgn0052279,0.5144819398052762,0.9411801091055947,41
FBgn0038299,0.5123760350898066,5.70100718870353,41
FBgn0033153,0.5091085334235859,4.942670562375361,41
FBgn0033723,0.5066632259864233,2.146263465288828,41
FBgn0033774,0.5043825218429532,8.36609836413207,41
FBgn0005664,0.5038410198444919,4.169778618198655,41
FBgn0037973,0.5009541332627545,6.3859382362833434,41
